DEBUG:root:Initialization
INFO:absl:Creating mfg_crowd_modelling_2d game with parameters: {'forbidden_states': '[0|0;1|0;2|0;3|0;4|0;5|0;6|0;7|0;8|0;9|0;10|0;11|0;12|0;0|1;6|1;12|1;0|2;6|2;12|2;0|3;12|3;0|4;6|4;12|4;0|5;6|5;12|5;0|6;1|6;2|6;4|6;5|6;6|6;7|6;8|6;10|6;11|6;12|6;0|7;6|7;12|7;0|8;6|8;12|8;0|9;12|9;0|10;6|10;12|10;0|11;6|11;12|11;0|12;1|12;2|12;3|12;4|12;5|12;6|12;7|12;8|12;9|12;10|12;11|12;12|12]', 'horizon': 40, 'initial_distribution': '[1|1]', 'initial_distribution_value': '[1.0]', 'size': 13, 'only_distribution_reward': True}
INFO:absl:Using game instance: mfg_crowd_modelling_2d
DEBUG:root:ppo_br: 171.2295816694372, and nash_conv: 16.873615889672323, reward: 163.97508711802809, entropy: 1.165468668032296
DEBUG:root:ppo_br: 170.8510439823368, and nash_conv: 20.376878502638647, reward: 164.00887168121338, entropy: 1.1635147304460407
DEBUG:root:ppo_br: 170.2312769409641, and nash_conv: 32.66789746896535, reward: 164.04269572693624, entropy: 1.1623046527306238
DEBUG:root:ppo_br: 170.7535802663529, and nash_conv: 24.567565265477157, reward: 164.06763789479325, entropy: 1.1609533034810207
DEBUG:root:ppo_br: 169.97667975549464, and nash_conv: 23.61032015416515, reward: 164.08525602409637, entropy: 1.1601470462169992
DEBUG:root:ppo_br: 169.9802337935357, and nash_conv: 27.413933246811723, reward: 164.11019258771626, entropy: 1.1594281140182698
DEBUG:root:ppo_br: 171.31266003019203, and nash_conv: 15.923157626105194, reward: 164.16764719525506, entropy: 1.1592758423791212
DEBUG:root:ppo_br: 170.79820992015084, and nash_conv: 26.12414506193042, reward: 164.18724944358647, entropy: 1.1583052618212477
DEBUG:root:ppo_br: 171.07134687083544, and nash_conv: 21.444153989863366, reward: 164.23411143335798, entropy: 1.1574924281273764
DEBUG:root:ppo_br: 171.38597818154855, and nash_conv: 15.500736870849039, reward: 164.26375839233395, entropy: 1.1566364987668667
DEBUG:root:ppo_br: 169.8031586152297, and nash_conv: 30.118360413712907, reward: 164.28193861372014, entropy: 1.1554301432679208
DEBUG:root:ppo_br: 171.01033650739637, and nash_conv: 17.658797876426632, reward: 164.31785605197484, entropy: 1.154430008629958
DEBUG:root:ppo_br: 170.94591991476622, and nash_conv: 22.317966975054787, reward: 164.3500385795845, entropy: 1.1536641826668939
DEBUG:root:ppo_br: 171.15534941288868, and nash_conv: 18.03806315521075, reward: 164.3687632419752, entropy: 1.1531998943699442
DEBUG:root:ppo_br: 171.2839441540926, and nash_conv: 17.393958128970212, reward: 164.38222018334176, entropy: 1.1529009395709602
DEBUG:root:ppo_br: 170.88285600880863, and nash_conv: 23.00612149186685, reward: 164.4007549918966, entropy: 1.1523866855400673
DEBUG:root:ppo_br: 171.09020052230812, and nash_conv: 20.14212343841956, reward: 164.42799122378702, entropy: 1.1521977997767299
DEBUG:root:ppo_br: 171.68928467735608, and nash_conv: 18.42237679689248, reward: 164.4443836657206, entropy: 1.151766741182655
DEBUG:root:ppo_br: 171.3041752681538, and nash_conv: 19.913074620435793, reward: 164.46486425655402, entropy: 1.1510095031605554
DEBUG:root:ppo_br: 171.10944092964036, and nash_conv: 25.524278012758487, reward: 164.48525718221862, entropy: 1.1505447418714057
DEBUG:root:ppo_br: 168.75510750328291, and nash_conv: 30.370443445529617, reward: 164.513505896366, entropy: 1.1502406925866098
DEBUG:root:ppo_br: 170.45672797640273, and nash_conv: 28.02355003595875, reward: 164.51679733276367, entropy: 1.1503972933888436
DEBUG:root:ppo_br: 170.91813300633507, and nash_conv: 21.25416230336154, reward: 164.53952495310565, entropy: 1.1504955753241435
DEBUG:root:ppo_br: 171.10755322719584, and nash_conv: 22.00222512506855, reward: 164.55491344377103, entropy: 1.1503694485215579
DEBUG:root:ppo_br: 170.70721985654802, and nash_conv: 23.556709111062673, reward: 164.569037404477, entropy: 1.1503688864916273
DEBUG:root:ppo_br: 170.35339441657368, and nash_conv: 27.78826346134909, reward: 164.58527833205005, entropy: 1.150125845693625
DEBUG:root:ppo_br: 170.96737706655247, and nash_conv: 25.2278857092858, reward: 164.5998383847191, entropy: 1.1498909497261047
DEBUG:root:ppo_br: 170.76381717259576, and nash_conv: 20.51555384697113, reward: 164.61302338222288, entropy: 1.1496142567328687
DEBUG:root:ppo_br: 170.9443243547991, and nash_conv: 21.04649990750741, reward: 164.62049489244123, entropy: 1.1495455286770224
DEBUG:root:ppo_br: 170.92059355181624, and nash_conv: 20.817449753594218, reward: 164.6283747185601, entropy: 1.1492646519232679
DEBUG:root:ppo_br: 170.84101969075783, and nash_conv: 21.31249360110158, reward: 164.64485527388544, entropy: 1.1489226483970607
DEBUG:root:ppo_br: 170.86078340334552, and nash_conv: 22.00285249960504, reward: 164.670787109375, entropy: 1.1482892513275147
DEBUG:root:ppo_br: 170.9465959013139, and nash_conv: 26.0223988000742, reward: 164.696689909514, entropy: 1.1474176212205542
DEBUG:root:ppo_br: 170.29696087941556, and nash_conv: 25.951168875935622, reward: 164.72352074759348, entropy: 1.1467772263767464
DEBUG:root:ppo_br: 171.01670938433517, and nash_conv: 22.178342353563124, reward: 164.72648799929996, entropy: 1.1461240790850293
DEBUG:root:ppo_br: 171.4620213910588, and nash_conv: 19.723387594498007, reward: 164.74250065853724, entropy: 1.1450263920844648
DEBUG:root:ppo_br: 171.61472316982787, and nash_conv: 21.509789212607444, reward: 164.7608241072945, entropy: 1.1441248796815457
DEBUG:root:ppo_br: 171.59773618589972, and nash_conv: 23.378900055049172, reward: 164.78426820426154, entropy: 1.1432414353407663
DEBUG:root:ppo_br: 171.6880825712117, and nash_conv: 18.808715728465103, reward: 164.79909782214042, entropy: 1.1424837697265495
DEBUG:root:ppo_br: 171.96222082791206, and nash_conv: 15.828369334076825, reward: 164.8196728153552, entropy: 1.1418075819641857
DEBUG:root:ppo_br: 171.83928171920803, and nash_conv: 17.778407525626676, reward: 164.8343516527705, entropy: 1.1411689527896272
DEBUG:root:ppo_br: 171.5028637799555, and nash_conv: 19.740186899913454, reward: 164.85386451721192, entropy: 1.1402423015981913
DEBUG:root:ppo_br: 171.59800211506192, and nash_conv: 22.701777827262788, reward: 164.8762330766158, entropy: 1.139341436535859
DEBUG:root:ppo_br: 171.24537677159995, and nash_conv: 22.31266623486499, reward: 164.88715407074474, entropy: 1.1383436898227597
DEBUG:root:ppo_br: 171.64757511571804, and nash_conv: 18.952986181487205, reward: 164.91023285656442, entropy: 1.1374006783816872
DEBUG:root:ppo_br: 171.60660465707122, and nash_conv: 17.903221703587207, reward: 164.92300559259232, entropy: 1.1367620702712766
DEBUG:root:ppo_br: 171.41134635374993, and nash_conv: 24.427416774190448, reward: 164.9458069042969, entropy: 1.136021601343155
DEBUG:root:ppo_br: 171.66149056712646, and nash_conv: 20.631701509439438, reward: 164.95668233235676, entropy: 1.1350327457227405
DEBUG:root:ppo_br: 171.29648546060886, and nash_conv: 27.658334355166346, reward: 164.96618650421385, entropy: 1.1342876560575381
DEBUG:root:ppo_br: 171.55989274146094, and nash_conv: 22.979095445877277, reward: 164.9918536090851, entropy: 1.1335802398854866
